KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 3
WORD_ORDER: [bale, coy, find, core, hailed, mans, sires, sicker, falls, sue, dipped, dubbed, tin, shier, tales]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MWD: [0.0]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [0.0]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [0.0]
TOTAL_ERROR_RATE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [281.7836, 169.77927, 138.463, 181.51584, 232.87979, 253.26863, 201.0199, 203.08127, 295.08304, 167.90474, 236.25621, 147.85127, 105.17129, 176.40862, 284.63486]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [281.7836, 169.77927, 138.463, 181.51584, 232.87979, 253.26863, 201.0199, 203.08127, 295.08304, 167.90474, 236.25621, 147.85127, 105.17129, 176.40862, 284.63486]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [281.7836, 169.77927, 138.463, 181.51584, 232.87979, 253.26863, 201.0199, 203.08127, 295.08304, 167.90474, 236.25621, 147.85127, 105.17129, 176.40862, 284.63486]
