KEYBOARD_TYPE: controllerConsole
PRACTICE_WORDS_PER_INPUT: 5
WORD_ORDER: [pans, rub, shied, dubbed, tippee, calls, gapes, docker, fie, fibs]
TAKEN_PATH_TOUCH_ONLY: [[(550, 240, 0), (28, 240, 0), (28, 171, 0), (550, 171, 0), (492, 171, 0), (434, 171, 0), (376, 171, 0), (318, 171, 0), (318, 102, 0), (260, 102, 0), (202, 102, 0), (144, 102, 0), (86, 102, 0), (86, 171, 0)], [(202, 240, 0), (202, 171, 0), (260, 171, 0), (318, 171, 0), (376, 171, 0), (376, 240, 0), (376, 171, 0), (318, 171, 0), (260, 171, 0), (260, 102, 0)], [(86, 171, 0), (144, 171, 0), (202, 171, 0), (260, 171, 0), (318, 171, 0), (376, 171, 0), (434, 171, 0), (434, 240, 0), (492, 240, 0), (550, 240, 0), (28, 240, 0), (86, 240, 0), (144, 240, 0), (144, 171, 0)], [(144, 171, 0), (202, 171, 0), (260, 171, 0), (318, 171, 0), (376, 171, 0), (376, 240, 0), (376, 171, 0), (318, 171, 0), (260, 171, 0), (260, 102, 0), (260, 102, 0), (260, 171, 0), (202, 171, 0), (144, 171, 0), (144, 240, 0), (144, 171, 0)], [(260, 240, 0), (318, 240, 0), (376, 240, 0), (434, 240, 0), (492, 240, 0), (550, 240, 0), (550, 240, 0), (28, 240, 0), (86, 240, 0), (144, 240, 0), (144, 240, 0)], [(144, 102, 0), (144, 171, 0), (86, 171, 0), (28, 171, 0), (550, 171, 0), (492, 171, 0), (492, 171, 0), (550, 171, 0), (28, 171, 0), (86, 171, 0)], [(260, 171, 0), (202, 171, 0), (144, 171, 0), (86, 171, 0), (28, 171, 0), (550, 171, 0), (550, 240, 0), (550, 171, 0), (28, 171, 0), (86, 171, 0), (144, 171, 0), (144, 240, 0), (144, 171, 0), (86, 171, 0)], [(144, 171, 0), (86, 171, 0), (28, 171, 0), (550, 171, 0), (492, 171, 0), (492, 240, 0), (492, 171, 0), (434, 171, 0), (376, 171, 0), (318, 171, 0), (260, 171, 0), (202, 171, 0), (144, 171, 0), (144, 102, 0), (202, 102, 0), (260, 102, 0), (318, 102, 0), (376, 102, 0), (434, 102, 0), (434, 171, 0), (376, 171, 0), (318, 171, 0), (260, 171, 0), (202, 171, 0), (144, 171, 0), (144, 240, 0), (202, 240, 0)], [(202, 171, 0), (260, 171, 0), (318, 171, 0), (376, 171, 0), (434, 171, 0), (434, 240, 0), (376, 240, 0), (318, 240, 0), (260, 240, 0), (202, 240, 0), (144, 240, 0)], [(202, 171, 0), (260, 171, 0), (318, 171, 0), (376, 171, 0), (434, 171, 0), (492, 171, 0), (492, 240, 0), (434, 240, 0), (434, 171, 0), (376, 171, 0), (318, 171, 0), (260, 171, 0), (260, 102, 0), (260, 171, 0), (202, 171, 0), (144, 171, 0), (86, 171, 0)]]
KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [tin, ripped, fins, falls, shirt, dicker, ginned, owns, hot, dales]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 1, 1, 1, 7, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [355.1414, 970.0393, 764.00604, 1257.7052, 739.73413, 1300.5195, 819.4774, 1662.5947, 458.729, 1303.3645]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [355.1414, 970.0393, 764.00604, 1257.7052, 739.73413, 1300.5195, 819.4774, 1662.5947, 458.729, 1303.3645]
TIME_DURATION_TOUCH_ONLY: [1.0626379, 2.4688172, 1.4682022, 1.9687918, 1.906276, 2.968361, 1.6563963, 3.0629778, 0.9064693, 2.3438406]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.0626379, 2.4688172, 1.4682022, 1.9687918, 1.906276, 2.968361, 1.6563963, 3.0629778, 0.9064693, 2.3438406]
AVERAGE_HAND_VELOCITY: [17.760391, 20.852957, 27.631687, 33.96231, 20.591215, 23.241789, 26.244719, 28.822914, 26.89839, 29.526178]
AVERAGE_PIXEL_VELOCITY: [334.85535, 393.16272, 520.9692, 640.32697, 388.22787, 438.20206, 494.81927, 543.42883, 507.1436, 556.6881]
REACTION_TIME_FIRST_PRESSED: [1.4122225, 1.2497483, 1.2502828, 1.3124156, 1.2497245, 1.2816874, 1.437207, 1.2809368, 1.280957, 1.343446]
REACTION_TIME_FIRST_TOUCH: [1.4122225, 1.2497483, 1.2502828, 1.3124156, 1.2497245, 1.2816874, 1.437207, 1.2809368, 1.280957, 1.343446]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8124182, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [22.585302, 24.303137, 24.519781, 24.380434, 25.179987, 20.213177, 36.223217, 11.753268, 26.476353, 20.479208]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [22.585302, 24.303137, 24.519781, 24.380434, 25.179987, 20.213177, 36.223217, 11.753268, 26.476353, 20.479208]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [14.546275, 19.362305, 17.656895, 18.285952, 19.011404, 16.940985, 23.273832, 11.049941, 16.457697, 16.27213]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [14.546275, 19.362305, 17.656895, 18.285952, 19.011404, 16.940985, 23.273832, 11.049941, 16.457697, 16.27213]
ERROR_RATE_KSPC: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.333336, 0.0, 0.0]
ERROR_RATE_MWD: [10.0]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [0.0]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [10.0]
TOTAL_ERROR_RATE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.333336, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [109.55364, 248.00201, 180.23596, 258.27893, 137.00365, 199.27118, 177.65416, 429.13516, 145.22052, 289.00174]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [109.55364, 248.00201, 180.23596, 258.27893, 137.00365, 199.27118, 177.65416, 429.13516, 145.22052, 289.00174]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [109.55364, 248.00201, 180.23596, 258.27893, 137.00365, 199.27118, 177.65416, 415.4699, 145.22052, 289.00174]
TAKEN_PATH_TOUCH_ONLY: [[(413, 257, 0), (427, 259, 0), (442, 262, 0), (459, 263, 0), (477, 264, 0), (494, 265, 0), (511, 265, 0), (529, 266, 0), (529, 266, 0), (559, 266, 0), (575, 266, 0), (589, 265, 0), (600, 265, 0), (608, 264, 0), (613, 263, 0), (615, 263, 0), (616, 262, 0), (617, 261, 0), (616, 259, 0), (614, 250, 0), (609, 238, 0), (604, 222, 0), (597, 204, 0), (592, 186, 0), (587, 168, 0), (582, 153, 0), (579, 139, 0), (577, 130, 0), (576, 124, 0), (576, 122, 0), (575, 120, 0), (575, 119, 0), (575, 119, 0), (575, 118, 0), (575, 118, 0)], [(346, 245, 0), (359, 245, 0), (376, 245, 0), (396, 246, 0), (418, 247, 0), (443, 246, 0), (469, 245, 0), (495, 244, 0), (521, 244, 0), (546, 244, 0), (569, 244, 0), (588, 243, 0), (603, 243, 0), (613, 243, 0), (616, 243, 0), (618, 243, 0), (620, 243, 0), (622, 242, 0), (627, 242, 0), (636, 242, 0), (647, 242, 0), (659, 242, 0), (672, 242, 0), (686, 242, 0), (699, 243, 0), (710, 243, 0), (718, 243, 0), (724, 243, 0), (726, 243, 0), (729, 243, 0), (733, 242, 0), (737, 242, 0), (740, 242, 0), (740, 242, 0), (744, 242, 0), (747, 242, 0), (749, 242, 0), (751, 242, 0), (753, 242, 0), (753, 242, 0), (752, 242, 0), (743, 242, 0), (731, 241, 0), (715, 241, 0), (698, 243, 0), (679, 245, 0), (656, 247, 0), (631, 250, 0), (603, 251, 0), (574, 253, 0), (544, 254, 0), (502, 255, 0), (466, 255, 0), (432, 254, 0), (406, 253, 0), (379, 252, 0), (353, 252, 0), (328, 252, 0), (308, 252, 0), (292, 252, 0), (281, 252, 0), (276, 251, 0), (274, 251, 0), (272, 251, 0), (272, 250, 0), (273, 246, 0), (274, 240, 0), (279, 226, 0), (282, 218, 0), (286, 205, 0), (290, 193, 0), (293, 184, 0), (294, 180, 0), (294, 178, 0), (295, 176, 0), (295, 176, 0), (295, 175, 0), (295, 175, 0), (295, 175, 0), (295, 174, 0)], [(380, 181, 0), (399, 186, 0), (420, 193, 0), (444, 200, 0), (469, 207, 0), (495, 214, 0), (525, 222, 0), (525, 222, 0), (550, 236, 0), (596, 242, 0), (612, 246, 0), (622, 248, 0), (626, 249, 0), (628, 248, 0), (629, 247, 0), (627, 241, 0), (621, 231, 0), (613, 217, 0), (605, 201, 0), (597, 183, 0), (589, 165, 0), (583, 147, 0), (578, 132, 0), (576, 121, 0), (576, 115, 0), (574, 112, 0), (573, 111, 0), (573, 111, 0), (573, 110, 0), (568, 112, 0), (568, 114, 0), (547, 118, 0), (532, 123, 0), (532, 129, 0), (513, 135, 0), (466, 142, 0), (440, 148, 0), (413, 153, 0), (385, 158, 0), (358, 161, 0), (332, 164, 0), (307, 166, 0), (307, 168, 0), (266, 170, 0), (251, 172, 0), (241, 174, 0), (241, 174, 0), (234, 174, 0)], [(349, 178, 0), (337, 178, 0), (337, 179, 0), (305, 179, 0), (285, 180, 0), (264, 180, 0), (264, 181, 0), (220, 180, 0), (200, 180, 0), (200, 180, 0), (170, 178, 0), (162, 178, 0), (162, 178, 0), (159, 178, 0), (158, 177, 0), (159, 176, 0), (184, 175, 0), (184, 175, 0), (244, 175, 0), (282, 175, 0), (308, 175, 0), (376, 172, 0), (376, 169, 0), (477, 168, 0), (501, 168, 0), (553, 167, 0), (582, 168, 0), (613, 168, 0), (639, 169, 0), (639, 169, 0), (686, 169, 0), (702, 169, 0), (702, 169, 0), (713, 169, 0), (719, 169, 0), (721, 169, 0), (722, 169, 0), (722, 169, 0), (723, 169, 0), (723, 169, 0), (722, 169, 0), (714, 170, 0), (703, 172, 0), (688, 174, 0), (670, 177, 0), (655, 179, 0), (618, 184, 0), (597, 186, 0), (597, 189, 0), (530, 190, 0), (492, 191, 0), (455, 191, 0), (455, 190, 0), (396, 189, 0), (368, 188, 0), (340, 186, 0), (312, 184, 0), (288, 182, 0), (268, 180, 0), (252, 179, 0), (252, 179, 0), (241, 178, 0), (233, 178, 0), (233, 178, 0)], [(222, 169, 0), (244, 171, 0), (244, 171, 0), (281, 176, 0), (303, 177, 0), (327, 176, 0), (327, 176, 0), (379, 175, 0), (406, 174, 0), (433, 172, 0), (458, 171, 0), (480, 170, 0), (499, 169, 0), (499, 169, 0), (517, 168, 0), (520, 168, 0), (521, 168, 0), (521, 168, 0), (523, 168, 0), (524, 168, 0), (524, 168, 0), (524, 169, 0), (525, 169, 0), (525, 169, 0), (526, 177, 0), (538, 185, 0), (548, 196, 0), (559, 207, 0), (570, 219, 0), (581, 230, 0), (590, 240, 0), (599, 246, 0), (601, 249, 0), (603, 250, 0), (602, 251, 0), (596, 253, 0), (596, 253, 0), (571, 253, 0), (554, 254, 0), (534, 255, 0), (534, 255, 0), (487, 255, 0), (487, 255, 0), (433, 254, 0), (406, 252, 0), (383, 251, 0), (363, 251, 0), (363, 250, 0), (342, 250, 0), (339, 250, 0), (338, 250, 0), (338, 250, 0), (338, 250, 0), (353, 250, 0), (353, 250, 0), (374, 248, 0), (383, 247, 0), (386, 246, 0), (388, 246, 0), (390, 246, 0), (390, 245, 0), (390, 245, 0)], [(311, 179, 0), (315, 181, 0), (329, 186, 0), (358, 195, 0), (378, 199, 0), (400, 205, 0), (425, 211, 0), (451, 216, 0), (477, 222, 0), (504, 228, 0), (532, 235, 0), (559, 243, 0), (583, 248, 0), (600, 251, 0), (610, 253, 0), (614, 253, 0), (614, 252, 0), (608, 248, 0), (608, 240, 0), (596, 230, 0), (561, 219, 0), (542, 208, 0), (524, 197, 0), (505, 186, 0), (486, 176, 0), (471, 168, 0), (457, 161, 0), (444, 154, 0), (436, 149, 0), (426, 145, 0), (418, 141, 0), (413, 139, 0), (411, 137, 0), (406, 135, 0), (401, 133, 0), (397, 132, 0), (393, 130, 0), (389, 128, 0), (386, 127, 0), (386, 125, 0), (384, 124, 0), (381, 123, 0), (381, 122, 0), (381, 122, 0), (394, 124, 0), (407, 127, 0), (422, 130, 0), (439, 135, 0), (459, 139, 0), (479, 143, 0), (499, 148, 0), (520, 152, 0), (542, 157, 0), (565, 162, 0), (586, 167, 0), (586, 167, 0), (618, 174, 0), (632, 177, 0), (641, 178, 0), (645, 179, 0), (647, 179, 0), (648, 180, 0), (648, 180, 0), (648, 180, 0), (646, 181, 0), (640, 183, 0), (640, 185, 0), (620, 188, 0), (605, 190, 0), (587, 193, 0), (567, 197, 0), (543, 200, 0), (518, 203, 0), (491, 207, 0), (464, 210, 0), (435, 212, 0), (435, 215, 0), (407, 218, 0), (354, 221, 0), (330, 224, 0), (316, 226, 0), (297, 229, 0), (282, 232, 0), (272, 235, 0), (266, 236, 0), (265, 236, 0), (265, 237, 0), (265, 238, 0), (265, 239, 0), (271, 240, 0), (291, 242, 0), (299, 242, 0), (305, 242, 0), (305, 242, 0), (309, 242, 0), (309, 242, 0)], [(450, 175, 0), (464, 182, 0), (482, 192, 0), (502, 203, 0), (525, 216, 0), (549, 229, 0), (549, 241, 0), (574, 241, 0), (611, 257, 0), (621, 260, 0), (625, 260, 0), (625, 256, 0), (621, 247, 0), (621, 234, 0), (615, 219, 0), (599, 201, 0), (599, 182, 0), (592, 182, 0), (579, 141, 0), (574, 125, 0), (571, 116, 0), (569, 107, 0), (568, 104, 0), (568, 102, 0), (566, 102, 0), (566, 104, 0), (550, 108, 0), (538, 113, 0), (523, 120, 0), (505, 129, 0), (505, 139, 0), (461, 149, 0), (461, 159, 0), (410, 169, 0), (383, 180, 0), (383, 191, 0), (357, 191, 0), (311, 214, 0), (311, 224, 0), (279, 232, 0), (269, 238, 0), (265, 240, 0), (263, 241, 0), (262, 241, 0), (262, 239, 0), (265, 235, 0), (270, 223, 0), (270, 215, 0), (274, 204, 0), (283, 193, 0), (286, 185, 0), (288, 180, 0), (289, 177, 0), (289, 177, 0)], [(667, 253, 0), (654, 244, 0), (636, 235, 0), (610, 226, 0), (581, 219, 0), (581, 212, 0), (503, 209, 0), (503, 208, 0), (477, 208, 0), (451, 208, 0), (265, 232, 0), (248, 236, 0), (248, 240, 0), (220, 243, 0), (210, 245, 0), (206, 245, 0), (204, 245, 0), (204, 243, 0), (207, 236, 0), (214, 228, 0), (214, 218, 0), (240, 207, 0), (260, 197, 0), (282, 187, 0), (307, 177, 0), (332, 168, 0), (357, 159, 0), (383, 152, 0), (410, 147, 0), (437, 141, 0), (463, 137, 0), (463, 137, 0), (480, 134, 0), (526, 126, 0), (544, 122, 0), (558, 119, 0), (567, 116, 0), (573, 114, 0), (575, 113, 0), (577, 113, 0), (577, 113, 0), (578, 113, 0), (993, 245, 0), (980, 235, 0), (968, 224, 0), (961, 217, 0), (979, 240, 0), (964, 229, 0), (959, 225, 0), (959, 225, 0), (978, 243, 0), (967, 232, 0), (967, 225, 0), (959, 225, 0), (977, 238, 0), (966, 235, 0), (962, 235, 0), (186, 251, 0), (208, 245, 0), (222, 238, 0), (222, 231, 0), (252, 225, 0), (252, 214, 0), (297, 209, 0), (322, 199, 0), (348, 190, 0), (348, 180, 0), (403, 171, 0), (430, 161, 0), (457, 153, 0), (483, 144, 0), (506, 135, 0), (529, 127, 0), (549, 119, 0), (566, 112, 0), (579, 106, 0), (587, 102, 0), (590, 100, 0), (592, 99, 0), (593, 98, 0), (593, 98, 0), (592, 98, 0), (590, 99, 0), (590, 100, 0), (579, 101, 0), (571, 103, 0), (571, 105, 0), (554, 106, 0), (549, 110, 0), (525, 113, 0), (507, 117, 0), (507, 122, 0), (488, 128, 0), (466, 128, 0), (442, 138, 0), (417, 143, 0), (366, 147, 0), (339, 150, 0), (339, 153, 0), (313, 153, 0), (266, 160, 0), (248, 162, 0), (233, 165, 0), (227, 165, 0), (227, 165, 0)], [(518, 181, 0), (526, 183, 0), (542, 192, 0), (556, 198, 0), (569, 206, 0), (584, 214, 0), (601, 223, 0), (619, 231, 0), (635, 239, 0), (635, 246, 0), (652, 252, 0), (667, 257, 0), (682, 259, 0), (684, 260, 0), (685, 260, 0), (685, 260, 0), (679, 259, 0), (668, 257, 0), (654, 255, 0), (636, 254, 0), (616, 252, 0), (592, 251, 0), (592, 248, 0), (547, 247, 0), (547, 246, 0), (490, 244, 0), (465, 244, 0), (442, 244, 0), (425, 244, 0), (421, 244, 0)], [(291, 174, 0), (280, 175, 0), (266, 176, 0), (250, 177, 0), (237, 178, 0), (218, 178, 0), (212, 179, 0), (181, 179, 0), (164, 179, 0), (149, 178, 0), (138, 178, 0), (132, 178, 0), (130, 178, 0), (129, 178, 0), (130, 178, 0), (136, 178, 0), (147, 178, 0), (163, 179, 0), (183, 179, 0), (183, 180, 0), (232, 180, 0), (265, 181, 0), (304, 181, 0), (339, 181, 0), (376, 180, 0), (404, 179, 0), (432, 179, 0), (470, 178, 0), (505, 177, 0), (531, 177, 0), (559, 177, 0), (578, 177, 0), (614, 177, 0), (630, 177, 0), (630, 177, 0), (674, 176, 0), (691, 177, 0), (691, 177, 0), (706, 177, 0), (722, 176, 0), (724, 177, 0), (724, 177, 0), (724, 178, 0), (715, 182, 0), (704, 186, 0), (689, 191, 0), (671, 196, 0), (650, 201, 0), (625, 207, 0), (625, 212, 0), (570, 217, 0), (541, 221, 0), (541, 225, 0), (482, 229, 0), (452, 232, 0), (423, 234, 0), (395, 236, 0), (377, 236, 0), (343, 238, 0), (328, 239, 0), (307, 241, 0), (307, 242, 0), (276, 245, 0), (266, 248, 0), (260, 249, 0), (260, 249, 0), (256, 250, 0), (256, 250, 0), (255, 248, 0), (252, 242, 0), (247, 232, 0), (240, 220, 0), (235, 210, 0), (229, 203, 0), (227, 200, 0), (226, 199, 0)]]
KEYBOARD_TYPE: leapSurface
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [fit, calla, pens, yipped, sinned, agues, vales, docked, rind, tim]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 5, 1, 1, 1, 7, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [668.3807, 1728.737, 1393.269, 1136.3229, 1900.9257, 993.8786, 1930.3647, 1779.8655, 1320.1489, 544.8071]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [668.3807, 1728.737, 1393.269, 1136.3229, 1900.9257, 993.8786, 1930.3647, 1779.8655, 870.3548, 544.8071]
TIME_DURATION_TOUCH_ONLY: [1.3335316, 2.882758, 2.6170163, 2.901071, 5.020006, 2.9167497, 3.2830687, 3.9839163, 3.0865977, 1.6000594]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [1.3335316, 2.882758, 2.6170163, 2.901071, 5.020006, 2.9167497, 3.2830687, 3.9839163, 1.868646, 1.6000594]
AVERAGE_HAND_VELOCITY: [11.725575, 14.462979, 12.843614, 9.434014, 10.781793, 8.049449, 14.241579, 10.608376, 9.953886, 8.17826]
AVERAGE_PIXEL_VELOCITY: [501.138, 599.56055, 532.20465, 391.81442, 444.43967, 340.65283, 587.9098, 446.67264, 429.30396, 340.36963]
REACTION_TIME_FIRST_PRESSED: [1.1598357, 1.2503568, 1.1670748, 1.1170357, 1.1671703, 1.6673057, 1.2337449, 1.3170863, 1.5504285, 1.1003546]
REACTION_TIME_FIRST_TOUCH: [1.1598357, 1.2503568, 1.1670748, 1.1170357, 1.1671703, 1.6673057, 1.2337449, 1.3170863, 1.5504285, 1.1003546]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 2.0507803, 0.0, 0.0, 0.0, 1.600697, 0.0]
TEXT_ENTRY_RATE_WPM: [17.997324, 16.650723, 13.756124, 20.682016, 11.952177, 16.456675, 14.620468, 15.060557, 11.663328, 14.999443]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [17.997324, 16.650723, 13.756124, 20.682016, 11.952177, 16.456675, 14.620468, 15.060557, 19.265287, 14.999443]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [14.438308, 14.516896, 12.684684, 17.918886, 11.636972, 13.088847, 13.283701, 13.582336, 10.351462, 13.33129]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [14.438308, 14.516896, 12.684684, 17.918886, 11.636972, 13.088847, 13.283701, 13.582336, 14.038887, 13.33129]
ERROR_RATE_KSPC: [1.0, 1.0, 1.0, 1.0, 1.6666666, 1.0, 1.0, 1.0, 2.5, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 1.6666666, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.333336, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 30.000002, 0.0]
ERROR_RATE_MWD: [20.0]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [10.0]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [20.0]
TOTAL_ERROR_RATE: [0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 42.857143, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 33.333336, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 30.000002, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [135.2719, 295.68164, 244.96243, 248.23694, 358.2076, 143.33577, 348.43356, 206.58401, 346.19308, 113.4514]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [135.2719, 295.68164, 244.96243, 248.23694, 358.2076, 143.33577, 348.43356, 206.58401, 148.95741, 113.4514]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [135.2719, 295.68164, 244.96243, 248.23694, 324.52875, 143.33577, 348.43356, 206.58401, 148.95741, 113.4514]
